yyyyq,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx,D3,E3
19471,15.17,0.72,1.27,0.741534989,0.0038,0.0255,0.0315,0.0213,NaN,0.03101998,0.00095,0.018604651,0.003501738,0.007706952,0.005887148,0.000803646,0.035776667,-0.001687817,-0.012358748,NaN,0.4
19472,15.21,0.76,1.44,0.741116751,0.0038,0.0255,0.0321,0.0216,NaN,0.026472743,0.00095,0.00456621,0.000587378,0.004405602,0.006811225,0.003817236,0.034841558,0.011292944,-0.002494013,NaN,0.38
19473,15.11,0.79,1.55,0.740323399,0.008,0.0261,0.0323,0.0213,NaN,0.02405855,0.00095,0.045454546,0.009987446,-0.018147204,0.004187344,0.004326897,0.033868903,0.00550013,-0.005698305,NaN,0.37
19474,15.3,0.84,1.61,0.725325679,0.0095,0.0286,0.0352,0.0243,NaN,0.025921595,0.002,0.017391304,-0.039831736,-0.017250027,0.002452803,0.004760925,0.034505303,0.033445637,0.014226731,NaN,0.46
19481,15.08,0.85,1.71,0.841422122,0.01,0.0283,0.0353,0.0241,NaN,0.027187025,0.002375,0,0.010031671,0.017881918,0.004886523,0.005808515,0.036166884,-0.001243143,-0.014339667,NaN,0.5
19482,16.74,0.85,1.86,0.786973504,0.01,0.0276,0.0334,0.0238,NaN,0.023893669,0.0025,0.02991453,0.010106677,-0.003735165,0.002911784,0.003144237,0.034572381,0.125989454,0.112358474,NaN,0.53
19483,15.49,0.87,2.07,0.836231071,0.0109,0.0284,0.0345,0.0242,NaN,0.019128082,0.0025,0.01659751,-0.00060301,0.002672051,0.006347632,0.003053102,0.034327484,-0.063570647,-0.075195428,NaN,0.58
19484,15.2,0.93,2.29,0.840947547,0.0116,0.0279,0.0353,0.0237,NaN,0.015014554,0.002725,-0.016326531,0.01395183,0.024163457,0.007953871,0.00163301,0.034800973,-0.000491001,-0.022059845,NaN,0.68
19491,15.06,0.98,2.38,0.901750424,0.0117,0.027,0.0347,0.0227,NaN,0.014658966,0.0029,-0.012448133,0.020637417,0.00831977,0.003843559,0.002717067,0.032882954,0.003946265,-0.011981531,NaN,0.59
19492,14.16,1.02,2.4,0.953888424,0.0117,0.0271,0.0347,0.0217,NaN,0.016812418,0.002925,0.004201681,0.019752225,0.014560053,0.003204742,0.004091914,0.031414161,-0.045903006,-0.061765419,NaN,0.55
19493,15.58,1.04,2.39,0.875020547,0.0107,0.026,0.0337,0.0212,NaN,0.023343408,0.002925,0,0.01332075,0.015765267,0.003262011,0.002629813,0.029787001,0.115669494,0.100212296,NaN,0.57
19494,16.76,1.14,2.32,0.796429284,0.011,0.0258,0.0331,0.0209,NaN,0.027175585,0.002675,-0.012552301,0.009224811,-0.005813734,0.001995603,0.004252018,0.029278624,0.104726674,0.076298595,NaN,0.61
19501,17.29,1.17,2.37,0.825527785,0.0112,0.0258,0.0324,0.0215,NaN,0.029291342,0.00275,0,-0.00321602,0.006612276,0.00203947,0.00455264,0.029998623,0.048202119,0.032044594,NaN,0.64
19502,17.69,1.2,2.54,0.813447468,0.0115,0.0262,0.0328,0.0216,NaN,0.030396659,0.0028,0.008474576,0.003794125,0.000696962,0.00721099,0.004115374,0.032336994,0.035569101,0.02106132,NaN,0.72
19503,19.45,1.33,2.72,0.751457855,0.013,0.0264,0.0321,0.022,NaN,0.025914209,0.002875,0.025210084,-0.000342035,0.006784388,0.005504228,0.004031833,0.034762201,0.129242598,0.107118388,NaN,0.75
19504,20.41,1.47,2.84,0.722538442,0.0134,0.0267,0.032,0.0224,NaN,0.031358256,0.00325,0.024590164,0.000281093,0.00690625,0.006706621,0.005662515,0.03437348,0.084584318,0.054547773,NaN,0.73
19511,21.4,1.52,2.83,0.7813946,0.014,0.0278,0.0323,0.0241,NaN,0.032686771,0.00335,0.032,-0.017317126,-0.026148912,0.003582998,0.005749029,0.033164188,0.061704842,0.04671769,NaN,0.63
19512,20.96,1.56,2.72,0.800362677,0.0145,0.0294,0.0349,0.0259,NaN,0.036341121,0.0035,0.003875969,-0.01927496,-0.011676343,0.003392391,0.004064516,0.033292336,-0.008647602,-0.023301709,NaN,0.61
19513,23.26,1.52,2.51,0.716182328,0.0163,0.0284,0.0346,0.0253,NaN,0.028799506,0.003625,0.007722008,0.015645927,0.026250538,0.002244756,0.00393371,0.033404315,0.127943045,0.11242602,NaN,0.54
19514,23.77,1.41,2.44,0.721316347,0.0173,0.0301,0.0361,0.0269,NaN,0.036150788,0.004075,0.015325671,-0.018636657,-0.014830517,0.002962094,0.004146893,0.03258167,0.039643129,0.020165926,NaN,0.66
19521,24.37,1.42,2.4,0.751874119,0.0159,0.0296,0.0351,0.0263,-0.010489787,0.032094137,0.004325,-0.00754717,0.015350584,0.018916205,0.002101837,0.00332273,0.032650825,0.044465224,0.029618031,NaN,0.59
19522,24.96,1.45,2.34,0.738715088,0.017,0.0294,0.035,0.0259,0.000185194,0.02773127,0.003975,0.007604563,0.014047693,0.004303078,0.001659559,0.004430721,0.032916482,0.038274858,0.023832239,NaN,0.55
19523,24.54,1.45,2.36,0.748678911,0.0171,0.0295,0.0352,0.0277,-0.000541909,0.031038055,0.00425,0.00754717,-0.021869182,0.006095842,0.001075591,0.003504369,0.030112607,-0.004979909,-0.017758982,NaN,0.56
19524,26.57,1.41,2.4,0.694073313,0.0209,0.0297,0.0351,0.0279,-0.015942092,0.026534716,0.004275,0,0.004563611,0.005507967,0.001753025,0.003445919,0.032615038,0.102295335,0.084371914,NaN,0.7
19531,25.29,1.41,2.43,0.762496874,0.0201,0.0312,0.0357,0.0294,-0.019043495,0.024013353,0.005225,-0.003745318,-0.016244348,-0.015228506,0.001574275,0.002897312,0.03412129,-0.035682849,-0.048249541,NaN,0.62
19532,24.14,1.42,2.51,0.795496906,0.0211,0.034,0.0386,0.0301,-0.019511234,0.0274619,0.005025,0.007518797,-0.003405325,-0.017127809,0.002970454,0.002853784,0.034149794,-0.032102171,-0.045194532,NaN,0.63
19533,23.35,1.42,2.55,0.808210877,0.0179,0.0329,0.0388,0.0284,-0.016790492,0.025876606,0.005275,0.003731343,0.033089477,0.034578504,0.002368131,0.002609423,0.034596883,-0.022973263,-0.036676696,NaN,0.6
19534,24.81,1.45,2.51,0.759700961,0.016,0.0313,0.0374,0.0274,-0.013704049,0.024822272,0.004475,0,0.023114493,0.03269632,0.001366619,0.00279331,0.033956068,0.077865232,0.058916483,NaN,0.66
19541,26.94,1.47,2.55,0.804915818,0.0103,0.0286,0.0351,0.0278,0.006436874,0.022093476,0.004,0,0.039105659,0.036472058,0.001195486,0.002326738,0.032768249,0.099671169,0.085039958,NaN,0.66
19542,29.21,1.45,2.62,0.732467844,0.0064,0.029,0.0349,0.0272,0.011917157,0.018357419,0.002575,0,0.017935755,-0.00133351,0.002095984,0.001838346,0.032224444,0.095900544,0.082907069,NaN,0.7
19543,32.31,1.47,2.63,0.677745104,0.0101,0.0289,0.0347,0.0271,0.020123728,0.016884189,0.0016,-0.003717472,0.008742008,0.009830429,0.002450063,0.002207768,0.032807746,0.116368174,0.103607154,NaN,0.61
19544,35.98,1.54,2.77,0.604119785,0.0115,0.029,0.0345,0.0272,0.012768669,0.026992812,0.002525,-0.003731343,0.00448633,0.008221067,0.002648281,0.002845475,0.032513796,0.134620324,0.118143746,NaN,0.8
19551,36.58,1.56,2.96,0.607761777,0.0128,0.0302,0.0348,0.0288,0.011657928,0.027968342,0.002875,0,-0.023287915,-0.006885528,0.005603977,0.002822056,0.032821714,0.029533096,0.019192716,NaN,0.85
19552,41.03,1.57,3.22,0.551641632,0.0141,0.0305,0.0351,0.0293,-0.00054263,0.025363932,0.0032,0,-0.000255516,0.000994671,0.002018868,0.000454198,0.034507913,0.131615387,0.120710279,NaN,0.96
19553,43.67,1.62,3.44,0.533624791,0.0207,0.0313,0.0359,0.0298,-0.009547896,0.025633981,0.003525,0.007490637,-0.00257565,-0.000344342,0.008913603,0.000206388,0.035880725,0.068889503,0.058886049,NaN,0.83
19554,45.48,1.64,3.62,0.50982801,0.0254,0.0315,0.0362,0.0295,-0.00386799,0.02524455,0.005175,-0.003717472,0.01357159,0.011106693,0.005083761,0.000243799,0.036553571,0.054355251,0.040039731,NaN,0.98
19561,48.48,1.73,3.69,0.5310772,0.0225,0.031,0.036,0.0303,-0.006166682,0.026695068,0.00635,0,-0.006922325,-0.001763155,0.003288987,0.000741498,0.035691176,0.075560561,0.065942298,NaN,0.92
19562,46.97,1.8,3.6,0.551564593,0.0249,0.0326,0.0376,0.0299,-0.011595468,0.025671522,0.005625,0.014925373,0.013675304,-0.008148352,0.003688373,0.000939936,0.035948302,-0.022400017,-0.032086631,NaN,0.87
19563,45.35,1.84,3.46,0.571909521,0.0284,0.0356,0.0407,0.0324,-0.007985053,0.029361949,0.006225,0.007352941,-0.034405216,-0.028742448,0.002518761,0.001359354,0.03591286,-0.027815485,-0.036896515,NaN,0.69
19564,46.67,1.74,3.41,0.544176827,0.0321,0.0375,0.0437,0.0345,-0.012789935,0.026149367,0.0071,0.00729927,-0.028771081,-0.030979365,0.004393803,0.000969841,0.035529172,0.041139286,0.028315899,NaN,0.93
19571,44.11,1.73,3.4,0.599818875,0.0308,0.0366,0.0443,0.0331,-0.012454114,0.026599595,0.008025,0.007246377,0.034697252,0.034329126,0.00228828,0.001054099,0.035347097,-0.041855914,-0.053791049,NaN,0.91
19572,47.37,1.73,3.42,0.565876532,0.0329,0.0391,0.0463,0.0361,-0.010418484,0.030527691,0.0077,0.010791367,-0.042008859,-0.045798074,0.001362853,0.00217603,0.034913716,0.086308215,0.076002214,NaN,0.89
19573,42.42,1.76,3.47,0.624150778,0.0353,0.0412,0.0493,0.0364,-0.002697596,0.034362522,0.008225,0.007117438,0.003669534,-0.002503056,0.004218226,0.001116985,0.035270685,-0.095308133,-0.104202548,NaN,0.74
19574,39.99,1.79,3.37,0.653675779,0.0304,0.0381,0.0503,0.0323,0.007237596,0.034873147,0.008825,0.003533569,0.080208128,0.10426433,0.009677492,0.000667927,0.034106432,-0.052872804,-0.064740741,NaN,0.83
19581,42.1,1.77,3.14,0.668591638,0.013,0.0363,0.0468,0.0321,0.019168612,0.028935347,0.0076,0.014084507,0.011731463,0.004450256,0.002039919,0.000187321,0.031650175,0.06483569,0.053566802,NaN,0.68
19582,45.24,1.73,2.93,0.62466017,0.0083,0.0357,0.0455,0.0324,0.026814786,0.021436618,0.00325,0.003472222,0.00240263,0.015576618,0.001618081,0.000757718,0.030281102,0.085091179,0.074130679,NaN,0.68
19583,50.06,1.73,2.88,0.561371197,0.0244,0.0409,0.0487,0.038,0.015374468,0.013983478,0.002075,0,-0.080970639,-0.05596102,0.001794767,0.001397779,0.02980516,0.11677727,0.106902342,NaN,0.69
19584,55.21,1.75,2.89,0.51177932,0.0277,0.0408,0.0485,0.0382,0.009303731,0.023686832,0.0061,0,0.007395623,0.015388738,0.003036457,0.001585812,0.03077681,0.113954199,0.103864976,NaN,0.84
19591,55.44,1.77,3.11,0.516860282,0.028,0.0413,0.0485,0.0403,0.009146981,0.02498439,0.006925,0,0.005312531,0.001383673,0.00192111,0.001768307,0.031554399,0.016480347,0.008449215,NaN,0.9
19592,58.47,1.79,3.4,0.483219391,0.0321,0.0446,0.0504,0.0419,0.005750917,0.026882074,0.007,0.006920415,-0.011206344,-0.024128897,0.001835421,0.001917092,0.032250198,0.063859658,0.055496266,NaN,0.97
19593,56.88,1.81,3.43,0.492337893,0.0404,0.0452,0.0518,0.0429,0.018910024,0.030528391,0.008025,0.006872852,-0.00383529,-0.006778467,0.00326734,0.001397017,0.032880418,-0.021131332,-0.028572338,NaN,0.72
19594,59.89,1.83,3.39,0.457783797,0.0449,0.0458,0.0528,0.0447,0.022785342,0.022856304,0.0101,0.003412969,-0.013024952,0.020332612,0.00142542,0.000975372,0.032532263,0.061846544,0.052275673,NaN,0.8
19601,55.34,1.94,3.39,0.549798083,0.0331,0.0449,0.0525,0.0411,0.01166005,0.02559341,0.011225,0,0.060926043,0.043188426,0.00303881,0.000360982,0.033411421,-0.068834539,-0.076640523,NaN,0.9
